date,value
9/1/23,44.6
8/31/23,44.6
8/30/23,44.6
8/29/23,44.6
8/28/23,44.6
8/27/23,44.4
8/26/23,44.5
8/25/23,44.5
8/24/23,45
8/23/23,45
8/22/23,44.5
8/21/23,44.2
8/20/23,44.4
8/19/23,44.4
8/18/23,44.4
8/17/23,44.4
8/16/23,44.4
8/15/23,44.8
8/14/23,44.8
8/13/23,44.8
8/12/23,44.8
8/11/23,44.8
8/10/23,44.8
8/9/23,44.8
8/8/23,44.9
8/7/23,44.9
8/6/23,44.9
8/5/23,44.9
8/4/23,44.9
8/3/23,44.9
8/2/23,44.9
8/1/23,44.9
7/31/23,45
7/30/23,45
7/29/23,45
7/28/23,45
7/27/23,45
7/26/23,44.2
7/25/23,43.8
7/24/23,43.9
7/23/23,43.9
7/22/23,44.1
7/21/23,44.1
7/20/23,44
7/19/23,43.9
7/18/23,43.8
7/17/23,43.8
7/16/23,43.8
7/15/23,43.8
7/14/23,43.8
7/13/23,43.8
7/12/23,43.8
7/11/23,43.9
7/10/23,43.6
7/9/23,43.6
7/8/23,43.6
7/7/23,43.6
7/6/23,43.6
7/5/23,43.5
7/4/23,43.5
7/3/23,43.5
7/2/23,43.5
7/1/23,43.5
6/30/23,43.5
6/29/23,43.5
6/28/23,43.5
6/27/23,43.6
6/26/23,43.6
6/25/23,43.7
6/24/23,42.9
6/23/23,42.9
6/22/23,42.9
6/21/23,43
6/20/23,43
6/19/23,43
6/18/23,43
6/17/23,43
6/16/23,43.2
6/15/23,43.5
6/14/23,43.8
6/13/23,44
6/12/23,44
6/11/23,44
6/10/23,44
6/9/23,44
6/8/23,44
6/7/23,44
6/6/23,44
6/5/23,44
6/4/23,44
6/3/23,44
6/2/23,44
6/1/23,44
5/31/23,44
5/30/23,43.9
5/29/23,43.9
5/28/23,43.9
5/27/23,43.4
5/26/23,43.4
5/25/23,43.4
5/24/23,43.4
5/23/23,42.8
5/22/23,42.8
5/21/23,42.8
5/20/23,42.8
5/19/23,42.8
5/18/23,42.7
5/17/23,42.7
5/16/23,42.6
5/15/23,42.6
5/14/23,42.6
5/13/23,42.6
5/12/23,42.6
5/11/23,42.6
5/10/23,42.6
5/9/23,43.2
5/8/23,43.2
5/7/23,43.2
5/6/23,43.8
5/5/23,43.8
5/4/23,43.8
5/3/23,43.8
5/2/23,43.3
5/1/23,43.3
4/30/23,43.3
4/29/23,43.3
4/28/23,43.3
4/27/23,43.3
4/26/23,43.3
4/25/23,43.3
4/24/23,43.3
4/23/23,44
4/22/23,44
4/21/23,44
4/20/23,44
4/19/23,44
4/18/23,43.8
4/17/23,43.6
4/16/23,43.6
4/15/23,43.6
4/14/23,43.6
4/13/23,43.6
4/12/23,43.6
4/11/23,43.8
4/10/23,43.8
4/9/23,43.8
4/8/23,43.8
4/7/23,43.8
4/6/23,43.8
4/5/23,43.8
4/4/23,44
4/3/23,43.5
4/2/23,43.5
4/1/23,43
3/31/23,43
3/30/23,43
3/29/23,43
3/28/23,43.3
3/27/23,43.3
3/26/23,43.3
3/25/23,43.3
3/24/23,43.3
3/23/23,44
3/22/23,44
3/21/23,44
3/20/23,44
3/19/23,44.6
3/18/23,44.6
3/17/23,44.6
3/16/23,44.6
3/15/23,45.4
3/14/23,45.4
3/13/23,45.4
3/12/23,45.2
3/11/23,45.2
3/10/23,45.2
3/9/23,45.2
3/8/23,44.9
3/7/23,44.9
3/6/23,44.9
3/5/23,45
3/4/23,45
3/3/23,45
3/2/23,45
3/1/23,45
2/28/23,45
2/27/23,44.5
2/26/23,44.5
2/25/23,44.5
2/24/23,44.5
2/23/23,44.5
2/22/23,44.5
2/21/23,44.6
2/20/23,44.6
2/19/23,44.6
2/18/23,44.6
2/17/23,44.6
2/16/23,44.6
2/15/23,44.1
2/14/23,44.1
2/13/23,44.1
2/12/23,44
2/11/23,44
2/10/23,43.2
2/9/23,43.2
2/8/23,43.2
2/7/23,43.3
2/6/23,43.3
2/5/23,43.2
2/4/23,43.2
2/3/23,42.8
2/2/23,42.8
2/1/23,42.8
1/31/23,42.8
1/30/23,42.8
1/29/23,42.8
1/28/23,42.8
1/27/23,42.8
1/26/23,42.8
1/25/23,42.8
1/24/23,42.8
1/23/23,43.3
1/22/23,43.3
1/21/23,44
1/20/23,44
1/19/23,44.5
1/18/23,44.5
1/17/23,44.5
1/16/23,44.5
1/15/23,44.5
1/14/23,44.5
1/13/23,44.8
1/12/23,44.8
1/11/23,44.8
1/10/23,44.8
1/9/23,44.8
1/8/23,44.8
1/7/23,44.8
1/6/23,44.8
1/5/23,44.8
1/4/23,44.8
1/3/23,44.8
1/2/23,44.8
1/1/23,44.8
12/31/22,44.8
12/30/22,44.8
12/29/22,44.8
12/28/22,44.3
12/27/22,44.3
12/26/22,44.3
12/25/22,44.3
12/24/22,44.3
12/23/22,44.3
12/22/22,44.3
12/21/22,44.3
12/20/22,44.3
12/19/22,44.3
12/18/22,44.3
12/17/22,44.3
12/16/22,44.3
12/15/22,44.8
12/14/22,44.8
12/13/22,44.8
12/12/22,44.5
12/11/22,44.5
12/10/22,44.5
12/9/22,44.5
12/8/22,44.8
12/7/22,44.8
12/6/22,44.8
12/5/22,44.8
12/4/22,44.8
12/3/22,44.8
12/2/22,44.8
12/1/22,44.8
11/30/22,44.8
11/29/22,43.8
11/28/22,43.8
11/27/22,43.8
11/26/22,43.8
11/25/22,43.8
11/24/22,43.8
11/23/22,43.8
11/22/22,43.8
11/21/22,43.4
11/20/22,43.4
11/19/22,43.4
11/18/22,43.4
11/17/22,43.6
11/16/22,43.6
11/15/22,43.6
11/14/22,43.6
11/13/22,43.6
11/12/22,43.6
11/11/22,43.6
11/10/22,43.6
11/9/22,43.7
11/8/22,43.7
11/7/22,43.7
11/6/22,43.7
11/5/22,43.7
11/4/22,43.7
11/3/22,43.7
11/2/22,43.7
11/1/22,43.7
